address,candidate_labels,cluster_id,tx_count,unique_senders,unique_receivers,interacts_with_contract,first_block,last_block,cluster_suggested_label,final_label,annotator,confidence,notes,alchemy_notes,auto_confidence,review_reason,final_label_before
0x0020731604c882cf7bf8c444be97d17b19ea4316,unknown,1,,,,,,,phishing,,,,,,,,
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,unknown,1,,,,,,,phishing,,,,,,,,
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,unknown,1,,,,,,,phishing,,,,,,,,
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,"phishing,wash",-1,,,,,,,high_value_outlier,,,,,,,,
0x005b9f4516f8e640bbe48136901738b323c53b00,unknown,1,,,,,,,phishing,,,,,,,,
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,unknown,-1,,,,,,,high_value_outlier,,,,,,,,
0x0084515449b037205a33d6d3940a5684126aa4b5,unknown,1,,,,,,,phishing,,,,,,,,
0x008f3db10374099a11ec263415cb88c952abeedc,unknown,1,,,,,,,phishing,,,,,,,,
0x00c8bd3cd1e649a3fd2a89b3edc1c2ab631227a0,unknown,1,,,,,,,phishing,,,,,,,,
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,unknown,1,,,,,,,phishing,,,,,,,,
0x00e01a648ff41346cdeb873182383333d2184dd1,unknown,-1,,,,,,,high_value_outlier,,,,,,,,
0x00eb6f5199cd0b671da371969b1a0f948e982fea,unknown,1,,,,,,,phishing,,,,,,,,
0x011da0ab16577cbb73374a5b9b869d66253150e7,unknown,1,,,,,,,phishing,,,,,,,,
0x0153775362c3071c1860e8dbfd53ccc82fa226f5,unknown,1,,,,,,,phishing,,,,,,,,
0x015f17e2851ea392351b7f259e4cfd03dc443cef,unknown,1,,,,,,,phishing,,,,,,,,
0x015fca1d09287823e634ae51237ee1eeff03d9d5,unknown,1,,,,,,,phishing,,,,,,,,
0x0167409e6106ec3e3f05a09fcf04606918d21ad5,unknown,-1,,,,,,,high_value_outlier,,,,,,,,
0x016c0261c48d089ac26d0a48f840c9a9d5e203dd,unknown,1,,,,,,,phishing,,,,,,,,
0x017f86b90a46d8fd999eaefda1339355b98da12f,unknown,1,,,,,,,phishing,,,,,,,,
0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,unknown,1,,,,,,,phishing,,,,,,,,
0x024c344da7208e60356378a252dab771c34be111,unknown,1,,,,,,,phishing,,,,,,,,
0x02673ebfbfaed5891f6b14248b0e2753a8758fbf,unknown,1,,,,,,,phishing,,,,,,,,
0x02d0b53ec925f5c5907eb3dd85bededaa4362564,unknown,1,,,,,,,phishing,,,,,,,,
0x02d1347abe00beaa073058b1414722cdcc31abb3,unknown,1,,,,,,,phishing,,,,,,,,
0x02f4a464eebb46a50dd087074d7a2cf3f5a3598b,unknown,0,,,,,,,rug_pull,,,,,,,,
0x02fd82cba3bae39484d5eb7f75b5f3d5f418c691,"phishing,wash",-1,,,,,,,high_value_outlier,,,,,,,,
0x0310c4385311d225cbcaca26fefc9ab45d3eba3e,unknown,1,,,,,,,phishing,,,,,,,,
0x0387cfc283ffcf25a4a6a61e832545bbeb7c8fda,unknown,1,,,,,,,phishing,,,,,,,,
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,unknown,-1,,,,,,,high_value_outlier,,,,,,,,
0x03e115d99f005f9df8accec3f3d07f54b593ee96,unknown,1,,,,,,,phishing,,,,,,,,
0x03f034fb47965123ea4148e3147e2cfdc5b1f7a5,unknown,-1,,,,,,,high_value_outlier,,,,,,,,
0x0400f72bca103add12c6793d6194d041983e150a,unknown,1,,,,,,,phishing,,,,,,,,
0x043375ebc36fff7a4fcef1359f3c89afddf56e08,unknown,1,,,,,,,phishing,,,,,,,,
